Word,Term Frequency
turkish,0.021643286573146292
text,0.02004008016032064
preprocessing,0.016432865731462926
classification,0.014829659318637275
methods,0.011623246492985972
different,0.010420841683366733
stemming,0.010420841683366733
strem,0.009619238476953907
information,0.009218436873747494
data,0.009218436873747494
used,0.008817635270541082
documents,0.008416833667334669
words,0.007615230460921844
document,0.007615230460921844
performance,0.006813627254509018
language,0.006412825651302605
svm,0.006012024048096192
stopword,0.006012024048096192
terms,0.006012024048096192
mining,0.0056112224448897794
two,0.0056112224448897794
weighting,0.0056112224448897794
term,0.0056112224448897794
training,0.0056112224448897794
word,0.0052104208416833666
effect,0.004809619238476954
characters,0.004809619238476954
stemmer,0.004809619238476954
study,0.004408817635270541
filtering,0.004408817635270541
affect,0.004408817635270541
report,0.004408817635270541
retrieval,0.004408817635270541
use,0.004008016032064128
classifiers,0.004008016032064128
better,0.004008016032064128
mnnb,0.004008016032064128
algorithms,0.004008016032064128
one,0.004008016032064128
size,0.004008016032064128
method,0.0036072144288577155
set,0.0036072144288577155
english,0.0036072144288577155
algorithm,0.0036072144288577155
learning,0.0036072144288577155
includes,0.0036072144288577155
model,0.0036072144288577155
machine,0.0032064128256513026
categories,0.0032064128256513026
pp,0.0032064128256513026
