Word,Term Frequency
vikipedi,0.023787740164684355
text,0.021043000914913082
wikipedia,0.017840805123513267
concepts,0.017840805123513267
semantic,0.015096065873741994
bow,0.012808783165599268
classification,0.011436413540713633
turkish,0.011436413540713633
document,0.010978956999085087
use,0.010521500457456541
terms,0.010521500457456541
words,0.010521500457456541
representation,0.00960658737419945
articles,0.009149130832570906
word,0.00869167429094236
vector,0.00777676120768527
wordnet,0.007319304666056725
information,0.007319304666056725
aahaber,0.007319304666056725
approach,0.006861848124428179
knowledge,0.006861848124428179
nb,0.006861848124428179
studies,0.006404391582799634
performance,0.005946935041171089
documents,0.005946935041171089
accuracy,0.005946935041171089
table,0.005946935041171089
svm,0.0054894784995425435
concept,0.0054894784995425435
vc,0.0054894784995425435
relatedness,0.0054894784995425435
resource,0.0054894784995425435
show,0.0054894784995425435
number,0.005032021957913998
texts,0.005032021957913998
study,0.005032021957913998
mining,0.004117108874656907
multiple,0.004117108874656907
term,0.004117108874656907
haber,0.004117108874656907
algorithms,0.0036596523330283625
used,0.0036596523330283625
viki,0.0036596523330283625
classifier,0.0036596523330283625
algorithm,0.0036596523330283625
odp,0.0036596523330283625
extractor,0.0036596523330283625
new,0.003202195791399817
categorization,0.003202195791399817
mwvc,0.003202195791399817
