Word,Term Frequency
order,0.028537920250195466
documents,0.024628616106333073
terms,0.017982799061767005
semi,0.01641907740422205
class,0.01602814698983581
unlabeled,0.01563721657544957
higher,0.01563721657544957
supervised,0.014855355746677092
labeled,0.014073494917904612
set,0.012900703674745896
paths,0.012900703674745896
co,0.0109460516028147
data,0.0109460516028147
learning,0.0109460516028147
graph,0.008600469116497263
lsi,0.008209538702111024
classification,0.008209538702111024
text,0.007818608287724784
term,0.006254886630179828
approach,0.005863956215793589
use,0.005863956215793589
training,0.00547302580140735
pp,0.0050820953870211105
parameter,0.0050820953870211105
second,0.0050820953870211105
semantic,0.0050820953870211105
label,0.004691164972634871
number,0.004691164972634871
several,0.004691164972634871
occurrence,0.004691164972634871
first,0.004691164972634871
accuracy,0.004691164972634871
document,0.004300234558248631
labels,0.004300234558248631
algorithm,0.004300234558248631
algorithms,0.004300234558248631
smoothing,0.003909304143862392
representation,0.003909304143862392
models,0.003909304143862392
different,0.003518373729476153
knn,0.003518373729476153
novel,0.003518373729476153
occurs,0.003518373729476153
fig,0.003518373729476153
instances,0.003518373729476153
used,0.003518373729476153
section,0.003127443315089914
path,0.003127443315089914
relations,0.003127443315089914
words,0.003127443315089914
