Word,TF-IDF Value
vikipedi,0.025671283071581195
wikipedia,0.011013128251373865
aahaber,0.009966900904062895
bow,0.00856916279361396
concepts,0.0076737708095581504
text,0.007028998977711665
vc,0.005924142247287968
semantic,0.005671042662721508
wordnet,0.005360613063663082
viki,0.004983450452031447
odp,0.004983450452031447
turkish,0.004919083852280866
mwvc,0.004360519145527516
representation,0.004345037095556832
articles,0.004138130567196983
relatedness,0.0040204597977473115
extractor,0.0039494281648586455
document,0.003807364899081314
haber,0.0037911110638478387
words,0.0036487246949529254
classification,0.0035595741176311442
terms,0.0032748081882206523
use,0.0031672872370867187
resource,0.003151132302256462
nb,0.003103597925397737
integrate,0.002962071123643984
word,0.0029032821864461225
concept,0.002773009945031506
hyperlinks,0.0026031077294144506
hürriyet,0.0025274073758985594
esa,0.0024917252260157237
gabrilovich,0.0024917252260157237
knowledge,0.0024744900662046565
vector,0.002420510399989178
texts,0.0022759718119583407
information,0.002203330251886413
svm,0.0021524819671252357
integrating,0.0021061728132487994
multiple,0.0020797574587736295
approach,0.0020656221111435124
studies,0.002063618539009547
accuracy,0.002062322653669045
documents,0.0019864562328315576
textgraphs,0.0018687939195117925
bep,0.0018687939195117925
literally,0.0018687939195117925
markovitch,0.0018687939195117925
stemmed,0.0018687939195117925
ata,0.0018362491700601342
performance,0.0017902058296577106
