Word,TF-IDF Value
strem,0.01309878479535961
turkish,0.009309311972082445
preprocessing,0.006740341911282973
text,0.006693993101541213
mnnb,0.005457826998066504
classification,0.004615719018552981
stemming,0.004086121078274212
stopword,0.0040220848554623784
holdout,0.003820478898646553
methods,0.0036177257172442284
characters,0.0035225351173850186
zem,0.0032746961988399026
affect,0.0032289905242696005
stemmer,0.0032176678843699024
different,0.0031369859267589223
zemberek,0.0029525250627731466
weighting,0.0028345088963842423
documents,0.002811477102647309
information,0.0027750260121328927
data,0.0027750260121328927
roots,0.002728913499033252
used,0.0026543727072575493
document,0.0026408666285645172
words,0.0026408666285645172
language,0.0024090652598694052
svm,0.0023573775451581993
avg,0.002348356744923346
languages,0.002348356744923346
fps,0.0021626878678309112
prefix,0.002054812151807928
performance,0.0020511061828808338
filtering,0.0019940979482729188
effect,0.0018859020361265593
removal,0.0018769729325491097
letters,0.0018769729325491097
term,0.0018743180684315395
terms,0.0018712374399539112
english,0.0018221842905327273
mining,0.0018080441387875231
training,0.001746488277290317
word,0.0017404382064007153
knearest,0.0017301502942647293
two,0.0016891462682548043
alphabet,0.0016373480994199513
bagofwords,0.0016373480994199513
stemmers,0.0016373480994199513
urkish,0.0016373480994199513
knn,0.0016290848830518147
none,0.0016290848830518147
neighbors,0.0016290848830518147
