Word,TF-IDF Value
wikipedia,0.01971104781892349
redirects,0.017944715527854746
tweets,0.011667749036396035
titles,0.009888454414307418
twitter,0.00980090919057267
smoothing,0.009255981890232249
nbws,0.0075919950310154695
signatures,0.006563697391065129
semantic,0.006473676064201775
categories,0.006473676064201775
wiki,0.006016722608476368
tweet,0.006016722608476368
nb,0.005501846986249938
sentiment,0.005086214756400726
extractor,0.004922773043298846
twa,0.004831269565191663
twac,0.004831269565191663
articles,0.004814116112968695
added,0.00440805278888063
enriched,0.0042003896531025734
classification,0.0039438565743242174
topic,0.003897141615260372
text,0.003893915804682641
set,0.0035092194122004904
wex,0.0034509068322797587
freebase,0.0034509068322797587
twar,0.0034509068322797587
twacr,0.0034509068322797587
enrichment,0.0032818486955325647
approach,0.0032040698980961
concepts,0.003052075868529217
add,0.0030517288538404364
data,0.0030514951410439044
words,0.002812265473692094
multiword,0.0028002597687350485
postgresql,0.002760725465823807
training,0.0026818224705404676
used,0.002593770869887319
svm,0.002583596576354323
concept,0.0025603141323867515
figure,0.0023760790235311346
documents,0.0023702096202416075
signature,0.002333549807279207
neutral,0.0020705440993678556
extend,0.0020600946696473785
title,0.0020600946696473785
performance,0.001983471841678538
accuracy,0.0019334325131633145
negative,0.0019056433303419338
coefficient,0.0018668398458233657
