Word,TF-IDF Value
order,0.008132713430731317
honb,0.007309370868637596
paths,0.007024334223757136
tkde,0.006585116238038439
higher,0.005997451053243886
lsi,0.00554831100288782
path,0.004716338693094077
instances,0.003992560347509617
knn,0.003714145252837838
records,0.0034754780145202875
data,0.003348764353830542
training,0.002905981438169718
class,0.0028105700826792047
cora,0.002705061255497801
number,0.0026586638689637845
classification,0.0026586638689637845
latent,0.0026090384259669364
documents,0.0025878386918771067
co,0.00257045000901338
distinct,0.0025086785637683383
fig,0.0024540606358926897
learning,0.0024517739019116465
representatives,0.002377958641513881
links,0.0023473623473756165
second,0.002273338705882729
iid,0.0022072704095996393
citeseer,0.0021640490043982404
graph,0.002050654074104595
information,0.002033178357682829
svm,0.002025203037404481
enumerate,0.0020121188505117455
words,0.001997782499109065
text,0.0019906451475977744
document,0.0019288934474156491
sets,0.0019288934474156491
webkb,0.0018913625104685322
noted,0.0018393920079996995
occurrence,0.0017163812318435365
classifier,0.0017163812318435365
networked,0.0016230367532986804
complexity,0.001611255727102555
assumption,0.0016055621082873453
entities,0.0015964318133071245
two,0.0014949840865314918
relational,0.0014715136063997596
explicit,0.0014548942388219479
set,0.001435184723070232
used,0.0013753853596089724
also,0.0013753853596089724
nb,0.0013477284594595657
