Word,TF-IDF Value
unlabeled,0.011452599840859553
semi,0.010984474120508278
order,0.008590770009175382
documents,0.00822670293718339
paths,0.006516790181609422
supervised,0.006093287597100809
terms,0.005597131117631232
labeled,0.005075123019286985
higher,0.0048670705370706365
class,0.004824953018851928
lsi,0.004409500731936632
co,0.0042920613840175086
set,0.0038834987712710635
graph,0.003699274130162492
learning,0.0032950898665330235
data,0.0032950898665330235
knn,0.002860132998352502
text,0.002611651726089965
classification,0.0025552120319620843
parameter,0.002298619907322202
partite,0.0021293633088625375
emmnb,0.0021293633088625375
smoothing,0.002099762253303158
term,0.002089321380871972
labels,0.0019449860754264785
label,0.0019241960832949924
semantic,0.0019091583195822949
fig,0.0018897860279728424
representation,0.001768169159478617
approach,0.0017652267142141197
use,0.0017652267142141197
second,0.0017624070840189729
occurrence,0.0017622999873067337
training,0.001703474687974723
pp,0.0016975736219584773
accuracy,0.0016268373083252058
stddev,0.0015970224816469034
ul,0.0015970224816469034
lambda,0.0015970224816469034
hos,0.001588962776862501
path,0.0015798279228144052
occurs,0.001513339416884656
occur,0.0014921696785603204
document,0.0014912675326314384
first,0.0014601211611211912
number,0.0014601211611211912
conditional,0.001447927970018841
instances,0.0014431470624712442
tri,0.0014399042282288899
estimating,0.0014315749801074441
